,district,school,primary_job,fte,salary,certificate,subcategory,teaching_route,highly_qualified,experience_district,experience_nj,experience_total
27,10,1777,2,1.0,102540,5,4,1,0,16.0,16.0,16.0
36,10,1219,2,1.0,69941,5,4,0,0,8.0,8.0,8.0
73,10,1646,2,1.0,100319,5,4,1,0,11.0,11.0,11.0
112,10,67,2,1.0,115768,5,4,1,0,38.0,38.0,38.0
177,10,377,6,1.0,121454,5,2,1,5,19.0,19.0,19.0
188,10,1646,0,1.0,71418,5,2,0,5,10.0,10.0,10.0
259,10,67,1,1.0,71418,5,4,1,5,3.0,3.0,3.0
267,10,377,4,1.0,95680,5,2,1,5,17.0,17.0,17.0
268,10,377,5,1.0,73049,5,2,1,5,2.0,2.0,2.0
269,10,377,4,1.0,122126,5,2,0,5,17.0,17.0,17.0
270,10,377,4,1.0,98774,5,2,1,5,11.0,11.0,11.0
271,10,377,4,1.0,55547,5,2,1,5,6.0,6.0,6.0
272,10,377,4,1.0,102016,5,2,0,5,13.0,13.0,13.0
341,10,1646,0,1.0,79102,5,2,0,5,11.0,11.0,11.0
348,10,1219,0,1.0,52107,5,4,1,5,1.0,1.0,1.0
354,10,1352,0,1.0,58503,5,2,0,5,7.0,7.0,7.0
355,10,1352,0,1.0,55378,5,4,1,5,3.0,3.0,3.0
362,10,1352,4,0.5,65616,5,2,1,5,9.0,9.0,12.0
363,10,1352,0,1.0,99751,5,2,1,5,10.0,10.0,10.0
371,10,1352,0,1.0,70834,5,2,1,5,7.0,7.0,7.0
376,10,1352,0,1.0,54068,5,2,1,5,5.0,5.0,5.0
383,10,1352,0,1.0,68463,5,2,0,5,10.0,10.0,10.0
387,10,1777,0,1.0,56440,5,2,1,5,7.0,7.0,7.0
398,10,1777,4,0.5,106143,5,2,1,5,19.0,19.0,19.0
403,10,1777,0,1.0,43952,0,2,0,5,0.0,0.0,0.0
415,10,1777,0,1.0,49784,0,2,0,5,16.0,16.0,16.0
416,10,1777,0,1.0,67095,5,4,0,5,9.0,9.0,9.0
418,10,1219,0,1.0,63247,5,2,0,5,8.0,8.0,8.0
423,10,1219,0,1.0,73792,5,4,0,5,9.0,9.0,9.0
424,10,1219,4,0.5,82152,5,2,0,5,13.0,13.0,13.0
429,10,1219,0,1.0,60874,5,2,1,5,7.0,7.0,7.0
434,10,1219,0,1.0,61767,5,2,0,5,9.0,9.0,9.0
448,10,1700,0,1.0,65616,5,2,0,5,9.0,9.0,9.0
456,10,1700,0,1.0,71402,5,2,0,5,11.0,11.0,11.0
459,10,1700,0,1.0,60874,5,2,0,5,7.0,7.0,7.0
468,10,1700,0,1.0,56440,5,2,1,5,7.0,7.0,7.0
473,10,1700,4,1.0,98774,5,2,1,5,16.0,16.0,16.0
474,10,260,0,1.0,65616,5,2,0,5,8.0,8.0,8.0
478,10,260,0,1.0,58503,5,2,1,5,6.0,6.0,6.0
491,10,1646,4,1.0,95680,5,2,1,5,13.0,13.0,13.0
500,10,1646,0,1.0,66399,5,2,0,5,10.0,10.0,10.0
